ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
257882;Bruna;Melato;BRA;20060215
239402;Maria;Castano;ESP;20060214
243421;Luna;Dinoto Fernandez;ESP;20060214
256686;Lucie;Urbanova;CZE;20060214
257884;Cecilia;Costa;BRA;20060214
253680;Matilde;Tavazza;SUI;20060213
239444;Anastasia;Pettersson;SWE;20060211
241018;Aliesia;Reva;UKR;20060211
230131;Dila Beril;Guclu;TUR;20060209
257876;Suzana;Faucz;BRA;20060209
223266;Nadin;Amr;EGY;20060208
238070;Carla;Rodier Begue;FRA;20060207
238199;Daniel;Goldstein;ISR;20060207
236958;Julia;Caffarena;ARG;20060204
237456;Renata;Bucco Paolasso;ARG;20060202
244090;Nerea;Errasti;ESP;20060202
234239;Niyati;Kukreti;IND;20060201
239383;Sara;Bejlek;CZE;20060131
224488;Duru;Soke;TUR;20060130
239131;Tia;Kaukenas;LTU;20060130
240996;Tamara;Kostic;AUT;20060129
223192;Rhea;Makesar;AUS;20060126
223252;Shahd;Habib;EGY;20060126
244085;Lea;Von Kozierowski;DEU;20060126
258535;Irmak;Kas;TUR;20060124
239160;Arina;Arifullina;RUS;20060122
257885;Jana;Kareisova;CZE;20060119
257886;Magdalena;Smekalova;CZE;20060117
238194;Talya;Barad Itzhaki;ISR;20060115
253665;Emily;Sartz Lunde;NOR;20060112
238084;Delia;Gaillard;FRA;20060110
231627;Habiba;El_Anany;EGY;20060106
252561;Scarlett;Nicholson;CAN;20060106
241746;Giulia;Bizzari;ITA;20060105
223308;Ela Nala;Milic;SLO;20060101
238189;Farida Ahmed Hassan Amin;Elsayed;EGY;20051231
252514;Maya;Alexandrova;BUL;20051229
246500;Susana;Marino Hidalgo;COL;20051228
252560;Allie;Murrell;USA;20051227
252592;Shira;Buhadana;ISR;20051226
246514;Perla;Conde Vendrell;FRA;20051222
223201;Jigyasa;Narsinghani;IND;20051221
239394;Simona;Deletic;SRB;20051221
252532;Darya;Zykova;RUS;20051221
253675;Viola;Santapaola;ITA;20051219
239456;Tiantsoa Sarah;Rakotomanga Rajaonah;FRA;20051215
248669;Arili;Boshoff;RSA;20051214
230876;Viola;Turini;ITA;20051213
223374;Elizabeth;Jurna;EST;20051209
223396;Claudia;Pastor Sancho;ESP;20051207
238075;Petra;Marcinko;CRO;20051204
232881;Cristina;Diaz Adrover;ESP;20051203
241716;Vilma;Krebs Hyllested;DEN;20051203
252542;Adelisa;Kahriman;SWE;20051203
245092;Hanna;Piatrushka;BLR;20051202
228912;Ons;Boubaker;TUN;20051201
234491;Agostina;Breval;FRA;20051130
223120;Briana;Szabo;ROU;20051126
241023;Daria;Diatlova;UKR;20051126
223448;Chahd;Berriri;TUN;20051123
236971;Lourdes Belen;Luccatto;ARG;20051123
256726;Viktoriya;Sankiyska;BUL;20051123
255667;Sophia;Cisse Ignatiev;USA;20051120
223676;Leena;Metwally;EGY;20051116
238181;Valeska Alexandra;San Martin Ramirez;ECU;20051110
239433;Rana;Bozdag;TUR;20051110
238085;Lika;Peresypkina;UKR;20051109
224487;Mihrisah;Yapici;TUR;20051108
257891;Mariam;Elbasnaly;EGY;20051108
241019;Sofiia;Zhylchuk;UKR;20051105
257900;Marta;Serrano;POR;20051104
232883;Asima;Sazanova;KAZ;20051103
245088;Asima;Sazan;KAZ;20051103
223353;Emilia;Lubenova;BUL;20051101
241714;Rebecca;Munk Mortensen;DEN;20051101
259107;Mariam;Gabr;EGY;20051101
245084;Gabriela;Skrabalova;CZE;20051031
238188;Mariam;Ibrahim;EGY;20051030
249678;Kami;Osher;ISR;20051030
223194;Taylah;Preston;AUS;20051027
239416;Benedetta;Baratto;ITA;20051027
234222;Liv;Hovde;USA;20051025
246485;Anastasia;Grechkina;RUS;20051025
258532;Monika;Wojcik;USA;20051025
238179;Tania Isabel;Andrade Sabando;ECU;20051024
242445;Mathilde Mosegaard;Ravnholt;DEN;20051022
256685;Melissa;Duarte;BRA;20051022
252519;Alisa;Vasileva;RUS;20051021
253672;Mina;Randjelovic;SRB;20051021
223678;Lina;Sarhan;EGY;20051020
241729;Florence;Fohnen;BEL;20051019
247648;Lilitha Sithenkosi;Ndungane;RSA;20051019
254738;Daniela;Ribeiro De Oliveira;BRA;20051014
239448;Baharnaz;Apis;TUR;20051011
239428;Gio;Jang;KOR;20051010
245093;Alina;Cherniaieva;UKR;20051010
247656;Isabella;Benavides Jaramillo;COL;20051010
223136;Rozhan;Karajayeva;TKM;20051009
257870;Rocio Lisette;Espinal Plaza;DOM;20051008
237480;Rebecca;Amerio;ITA;20051004
230132;Amina;Bolat;KAZ;20051003
223332;Margherita;Marcon;ITA;20051002
241719;Marissa;Minetti;FIN;20051002
255660;Elsa;Chaumette;FRA;20051002
239125;Nutsa;Tsintsadze;GEO;20050930
223155;Ezgi;Tezel;TUR;20050929
223210;Lily;Fairclough;AUS;20050929
241748;Nicole;Iosio;ITA;20050929
223004;Ifigeneia;Kafka;GRE;20050928
234494;Lucky Wafa;Khan;IND;20050928
237454;Luciana;Moyano;ARG;20050927
239174;Enija Paula;Aploka;LVA;20050927
230127;Jermine;Sherif;EGY;20050926
258522;Lara;Diaz Zayas;ARG;20050926
239178;Patricia;Ungure Rogozoveca;LVA;20050925
236961;Lulu;Bulballa;ARG;20050921
223283;Zeynep Su;Yavuz;TUR;20050920
245078;Sofiia;Paladi;UKR;20050919
252527;Samanta;Nunez Cueva;PER;20050918
258523;Mayra;Arce Gonzalez;PAR;20050915
222987;Martyna;Ostrzygalo;CAN;20050914
223295;Habiba Allah;El Sheikh;EGY;20050913
254758;Elena;Samuelsson;SWE;20050913
235161;Irina;Balus;SVK;20050912
252529;Dariana;Vera;PER;20050912
223679;Tabatha;Suarez;ESP;20050911
254769;Natalie;Outcalt;USA;20050911
254764;Cornelia;Kack;SWE;20050910
233747;Nina;Vargova;SVK;20050909
233743;Nikola;Daubnerova;SVK;20050907
233739;Maryna;Kharchenko;UKR;20050906
241733;Freja B;Loevbjerg;DEN;20050904
239159;Marie Amandine;Reyes;PHL;20050903
252517;Polina;Zelentsova;UKR;20050902
222878;Melisa;Ercan;TUR;20050901
231639;Ariana;Geerlings;ESP;20050901
241740;Serena;Hatakka;FIN;20050901
248665;Ashton;Bowers;USA;20050901
239427;Lea;Erenda;AUT;20050831
223356;Ria;Dernikovic;CRO;20050830
223383;Jana;Rovira Alier;ESP;20050830
239389;Elena;Pridankina;RUS;20050830
239461;Agnese;Dolceamore;ITA;20050830
223310;Eylul;Akkoyun;TUR;20050827
223029;Andrea Alejandra;Da Costa Rojas;VEN;20050825
223196;Sedra;Elkhurashy;EGY;20050825
231629;Naroa;Aranzabal;ESP;20050824
223062;Stella;Jurina;GER;20050823
239488;Emilija;Zdravkovic;SRB;20050821
237468;Emilija;Pranyte;LTU;20050819
253670;Chiara;Kamenska;SVK;20050819
249679;Tatum;Evans;USA;20050818
236991;Maxine Sophie;Kammerer;GER;20050817
235159;Astrid;Lew Yan Foon;FRA;20050815
255649;Alessandra;Quintero Zaugg;SUI;20050815
223284;Luana;Plaza Araujo;BRA;20050814
239124;Natali;Jaiani;GEO;20050811
246509;Jana;Esmat;EGY;20050811
223286;Victoria;Jimenez Kasintseva;AND;20050809
239419;Marie;Brard Vidot;FRA;20050809
223193;Jessie;Culley;AUS;20050806
256673;Francesca;Pace;ITA;20050805
239122;Sofia;Chachkhiani;GEO;20050803
239406;Laura;Tapiador;ESP;20050802
255668;Kelly Marie;Richter;GER;20050802
228913;Roua;Limem;TUN;20050801
238077;Iva;Bozic;CRO;20050801
256697;Nour;Shafei;EGY;20050801
223316;Pelin;Colak;TUR;20050728
237455;Dana;Baidaulet;KAZ;20050727
224485;Lucia;Peyre;ARG;20050726
254740;Beatriz;Ibrahim;BRA;20050726
236987;Vicky;Veloso;GER;20050723
247657;Sara;Yepes;COL;20050723
222986;Mio;Mushika;JPN;20050721
239446;Mao;Mushika;JPN;20050721
254747;Kristyna;Damaskova;CZE;20050721
254754;Greta;Greco Lucchina;ITA;20050720
223118;Alara;Ayaz;TUR;20050719
223012;Valeria;Vigil Leal;MEX;20050716
256700;Farida;Elhalaby;EGY;20050716
239164;Nadine;Arbaizar Martinez;ESP;20050715
223075;Madeleine;Jessup;USA;20050714
225863;Zeynep;Bademci;TUR;20050713
234480;Ella;Hojnik;SLO;20050710
239445;Isabella Nalani;Alvarez Fu;HON;20050710
223671;Aya;El Aouni;MAR;20050706
238209;Piper;Charney;USA;20050706
241743;Valeriia;Krokhotina;RUS;20050706
246490;Anastasia Aleksandra;Nikolova;BUL;20050706
252486;Isabella;Daher Vaz Castro;BRA;20050706
256731;Iulia Andreea;Ionescu;ROU;20050706
239468;Tayla;Wilmot;RSA;20050703
252482;Giovanna;Gomes Ferreira;BRA;20050703
252528;Luciana;Mendoza;PER;20050702
242443;Zuzanna;Bednarz;POL;20050629
246477;Maria Paula;Vargas Triana;COL;20050628
232447;Celine;Naef;SUI;20050625
224484;Mercan;Saygi;TUR;20050624
239118;Maria Ioana;Secara;ROU;20050624
225856;Alejandra;Ramirez Botella;ESP;20050623
256732;Kamea;Medora;USA;20050623
259113;Andjela;Lazarevic;SRB;20050620
255665;Ioana Miruna;Cristea;ROU;20050617
223207;Dora;Olgungul;TUR;20050616
233748;Leyla Nilufer;Elmas;TUR;20050614
244087;Anja;Stankovic;SRB;20050613
252594;Agam;Gamliel;ISR;20050613
252506;Meera;Jesudason;USA;20050612
247650;Yoana;Radulova;BUL;20050611
223096;Juliana;Sperb;BRA;20050610
239447;Nehir;Kurbet;TUR;20050610
257871;Abby;Candelier;DOM;20050610
223298;Jade;Psonka;FRA;20050609
241735;Sarafina Olivia;Hansen;DEN;20050607
239106;Nora;Zuvela;CRO;20050606
231640;Charlotte;Biebel;GER;20050603
240997;Maria;Aldea Wesselly;ROU;20050603
223148;Soline;Hupin Marler;CAN;20050602
252571;Anna;Petkovic;GER;20050602
223675;Farah Haitham;Kassem;EGY;20050601
239119;Kristine;Nanava;GEO;20050601
238191;Aya;Bychenko;ISR;20050529
228110;Elif Tuana;Gunal;TUR;20050525
239442;Ranah Akua;Stoiber;GBR;20050525
241007;Lea;Bathellier;FRA;20050525
223253;Alexandra;Eala;PHL;20050523
223208;Eva;Shaw;GBR;20050522
246492;Yoana;Moneva;BUL;20050520
258531;Daniela;Casique;VEN;20050520
239417;Asem;Shoybek;KAZ;20050519
252586;Fang An;Lin;TPE;20050516
254739;Maria Luisa;Oliveira;BRA;20050516
248663;Paula;Guillen;ESP;20050514
232891;Alina;Nesmianovych;UKR;20050513
234227;Kaia;Kruus;EST;20050510
223141;Sara;Dols;ESP;20050509
223381;Carmen;Juan Bru;ESP;20050509
252539;Maria Victoria;Burstein;ARG;20050509
252591;Yana;Klimchuk;BLR;20050509
252495;Lucciana;Perez Alarcon;PER;20050508
223385;Taisia;Bolsova Zadoinov;ESP;20050507
246511;Jeannieross;Barcia Guquib;PHL;20050507
238072;Kamola;Amanova;UZB;20050506
234472;Valentina;Bertonazzi;ITA;20050505
247654;Sofia;Giraldo Zamorano;COL;20050505
255653;Lydia;Besbalta;GRE;20050505
259106;Jana;Refaat;EGY;20050505
222258;Linda;Fruhvirtova;CZE;20050501
223089;Habiba;Mossad;EGY;20050430
252526;Samantha;Velasquez Rivertte;PER;20050430
253682;Nil;Kalkavan;TUR;20050430
239484;Daria;Gorska;POL;20050428
253684;Theadora;Rabman;USA;20050428
231635;Ines;Costa;ESP;20050427
254749;Rebecca;Frant;ITA;20050427
239170;Alisa;Baranovska;UKR;20050426
222999;Mariam;Mahmoud;EGY;20050425
225854;Carmen;Lopez Martinez;ESP;20050423
236962;Zi Yi;Gao;CHN;20050423
230125;Nour;Hassan Moustafa;EGY;20050422
246507;Sandy;Sharaf;EGY;20050420
246505;Mariia;Bogoslovskaia;RUS;20050419
231644;Zeynep;Ilker;TUR;20050418
232880;Elena;Arenas Guisasola;ESP;20050418
245079;Romane;Longueville;BEL;20050418
246487;Megan;Kuninska;BUL;20050418
223300;Manon;Lamarque;FRA;20050415
256676;Anika;Lemus Maldonado;GTM;20050415
246488;Aleksandra;Mateva;BUL;20050414
253660;Bianca;Bulat;ROU;20050414
223074;Qavia;Lopez;USA;20050410
257872;Roxana;Valdez;CUB;20050410
258525;Maria Jose;Zarza Mojoli;PAR;20050408
237466;Livia;Airoldi;SUI;20050407
255643;Maria Gabriela;Mejia;COL;20050406
223405;Magdalena;Navratilova;CZE;20050405
225850;Maria;Garcia Cid;ESP;20050405
230882;Carolina;Kuhl;GER;20050404
231633;Barbora;Zaviskova;CZE;20050403
256717;Elizaveta;Masnaia;RUS;20050403
223321;Sofia;Costoulas;BEL;20050402
256716;Valery;Gynina;RUS;20050401
234504;Yashika;Venu;IND;20050331
252500;Ibifuro;Clement;USA;20050331
221996;Isabella;Kruger;RSA;20050330
