ID_Jugador,Nombre,Apellidos,Sexo,Nacionalidad,Fecha_nacimiento
123650,Martin,Flink,H,NED,1980-05-01
128575,Gustavo,Arroyo,H,MEX,1980-05-01
128632,Leone,Nitti,H,ITA,1980-05-01
140060,Anthony,Harding Clarke,H,AUS,1980-05-01
141773,Ryan,Rifkin,H,USA,1980-05-01
135234,Antoine,Poussard,H,FRA,1980-05-02
103555,Pedro,Canovas,H,ESP,1980-05-03
103556,Sylvain,Anibie,H,CIV,1980-05-03
140481,Tharwat,Al Quasi,H,JOR,1980-05-03
142793,Yogesh,Tambe,H,IND,1980-05-03
103557,Attapol,Rithiwattanapong,H,THA,1980-05-04
108674,Jerry,Joseph,H,HAI,1980-05-04
117621,Mark,Rapa,H,GBR,1980-05-04
118588,Mate,Gyenis,H,HUN,1980-05-04
134139,Karl,Sloss,H,USA,1980-05-04
103558,Masatoshi,Miyazaki,H,JPN,1980-05-05
125063,Lionel,Bertolini,H,FRA,1980-05-05
140209,Nicolas,Cabrini,H,ARG,1980-05-05
141424,Atilio,Barsky,H,ARG,1980-05-05
144015,Adrian,Sota,H,AUS,1980-05-05
103559,David,Sherwood,H,GBR,1980-05-06
140223,Peter,Allnutt,H,RSA,1980-05-06
140370,Michael,Mullins,H,AUS,1980-05-06
109065,Marton,Balla,H,HUN,1980-05-07
204065,Julien,Lhospital,H,FRA,1980-05-07
103560,Kj,Hippensteel,H,USA,1980-05-08
120306,Marco,Pezzali,H,ITA,1980-05-08
139975,Ciaran,Foley,H,IRL,1980-05-08
143141,Chris,Huebner,H,USA,1980-05-08
117933,Pawel,Kozak,H,AUT,1980-05-09
118422,Jacobo,Moreno Moreno,H,ESP,1980-05-09
122844,Michael,Polasek,H,RSA,1980-05-09
124552,Alexander,Fagiolo,H,ITA,1980-05-09
130757,Fabio,Mizzon,H,ITA,1980-05-09
140142,Patrick,Copic,H,NED,1980-05-09
142761,Malcolm,Swan,H,AUS,1980-05-09
103561,Roei,Shnaider,H,ISR,1980-05-10
103562,Sam,Swan,H,AUS,1980-05-10
111604,Maxim,Belski,H,BLR,1980-05-10
125132,Mark,Sewell,H,AUS,1980-05-10
143978,Jonathan,Austin,H,GBR,1980-05-10
108743,Rajeev,Rajapakse,H,SRI,1980-05-11
117482,Lovro,Brajkovic,H,CRO,1980-05-11
131540,Juan Jose,Recalde,H,ECU,1980-05-11
103563,Gabriel,Pitta,H,BRA,1980-05-12
103564,Jakub,Herm Zahlava,H,GER,1980-05-12
108653,Troy,Stone,H,TRI,1980-05-12
118359,Rafael,Westrupp,H,BRA,1980-05-12
119184,Rodrigue,Vignikin,H,BEN,1980-05-12
140251,Vicky,Bhujun,H,MRI,1980-05-12
205081,Daniel,Garcia Extremiana,H,ESP,1980-05-12
109705,Dirk,Kornmeyer,H,GER,1980-05-13
141431,Soo Young,Choi,H,KOR,1980-05-13
126288,Diego,Beltranena,H,GUA,1980-05-14
139507,Lukas,Vasicek,H,CZE,1980-05-14
142842,Stefan,Tewes,H,GER,1980-05-14
143358,Roman,Krasic,H,ISR,1980-05-14
142007,Grant,Bamford,H,GBR,1980-05-15
109031,Joshua,Olivas,H,USA,1980-05-16
117530,Jose,Ferrol Garcia,H,ESP,1980-05-16
130946,Sebastian,Wolf,H,GER,1980-05-16
135631,Cezar,Cury,H,BRA,1980-05-16
140862,Gerald Dan,Radovici,H,GER,1980-05-16
103565,Stephane,Robert,H,FRA,1980-05-17
128612,Tiago,Azevedo,H,BRA,1980-05-17
140208,Rodrigo,Noceto,H,ARG,1980-05-17
144430,Talat,Rahimov,H,AZE,1980-05-17
203137,Tim,Eichner,H,GER,1980-05-17
103566,Michael,Llodra,H,FRA,1980-05-18
109606,Amir Soheil,Mohseni,H,IRI,1980-05-18
119106,Marko,Gojanovic,H,USA,1980-05-18
131599,Nikolai,Shakhidze,H,UZB,1980-05-18
203246,Ivan,Lalic,H,YUG,1980-05-18
204412,Tomas,Urban,H,CZE,1980-05-18
103567,Andrei,Youzhny,H,RUS,1980-05-19
111264,Adem,Ramadan,H,AUS,1980-05-19
118091,Phu Quy,Huynh,H,VIE,1980-05-19
